City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,rain.3h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,snow.3h,snow.1h
46,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",model,,1581138299,10800,576558,Kidero,200,45.96,42.19,30.7,22.64,30.7,30.7,1004,86,6.78,180.0,,100,,,RU,1581134555,1581171486,1004.0,823.0,,,1.0,
47,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138299,-18000,3938415,Ilo,200,-71.34,-17.64,72.01,72.84,72.01,72.01,1015,84,9.44,150.0,,94,,,PE,1581158175,1581204172,1015.0,1011.0,,,,
48,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,,1581138231,23400,1309793,Meiktila,200,95.87,20.87,86.09,80.78,86.09,86.09,1015,26,8.28,340.0,,49,,,MM,1581120651,1581161432,1015.0,994.0,,,,
49,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581138300,37800,2063036,Port Lincoln,200,135.87,-34.73,79.59,77.63,79.59,79.59,1015,51,9.19,145.0,,0,,,AU,1581106965,1581155917,1015.0,1009.0,,,,
50,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,,1581138300,39600,2127060,Arman,200,150.17,59.7,2.01,-8.9,2.01,2.01,1024,77,7.92,13.0,,100,,,RU,1581112645,1581143374,1024.0,1022.0,,,,
51,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,,1581138300,-14400,3393929,Nhamunda,200,-56.71,-2.19,77.86,82.51,77.86,77.86,1010,70,2.95,238.0,,73,,,BR,1581155714,1581199611,1010.0,1005.0,,,,
52,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,16093.0,1581138300,-36000,5855051,'Ewa Beach,200,-158.01,21.32,67.48,69.03,62.6,71.6,1009,93,6.93,330.0,,75,1.0,7866.0,US,1581095223,1581135920,,,,,,
53,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,16093.0,1581138300,-28800,5393245,Santa Paula,200,-119.06,34.35,51.4,48.58,46.99,57.99,1018,76,2.57,4.0,,1,1.0,3649.0,US,1581086967,1581125479,,,,,,
54,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138300,-18000,3697441,El Alto,200,-81.21,-4.27,76.03,78.4,76.03,76.03,1012,67,4.61,147.0,,99,,,PE,1581161459,1581205626,1012.0,973.0,,,,
55,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,6437.0,1581138301,-28800,5359864,Isla Vista,200,-119.86,34.41,48.42,46.56,44.01,53.01,1018,93,1.83,86.0,,1,1.0,4558.0,US,1581087165,1581125665,,,,,,
56,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,,1581138301,-18000,3696509,Huamachuco,200,-78.07,-7.8,46.81,44.29,46.81,46.81,1016,90,2.01,310.0,0.5,99,,,PE,1581160472,1581205106,1016.0,660.0,,,,
57,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,,1581138301,32400,2014369,Ulety,200,112.48,51.36,16.59,7.83,16.59,16.59,1023,73,5.23,255.0,,93,,,RU,1581119893,1581154217,1023.0,908.0,,,,
58,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,,1581138301,-21600,3601402,Savannah Bight,200,-85.85,16.45,79.56,84.81,79.56,79.56,1015,77,5.79,173.0,,26,,,HN,1581077556,1581118949,1015.0,1015.0,,,,
59,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,16093.0,1581138180,-18000,5106841,Albany,200,-73.97,42.6,18.01,7.86,14.0,23.0,1004,78,8.05,330.0,,90,1.0,5137.0,US,1581163363,1581200247,,,,,,
60,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",model,,1581138301,25200,1490551,Suzun,200,82.31,53.78,32.38,18.66,32.38,32.38,1009,88,17.34,198.0,,100,,,RU,1581127559,1581161033,1009.0,984.0,,,0.25,
61,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,16093.0,1581138245,-32400,5880054,Barrow,200,-156.79,71.29,-32.8,-44.37,-32.8,-32.8,1019,95,8.05,250.0,,1,1.0,7649.0,US,1581105613,1581124945,,,,,,
62,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,24140.0,1581138029,-25200,6185377,Yellowknife,200,-114.35,62.46,-5.33,-13.85,-5.8,-5.01,1012,83,3.36,350.0,,90,1.0,1007.0,CA,1581090610,1581119576,,,,,,
63,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1581138302,37800,2156643,Mount Gambier,200,140.77,-37.83,84.2,79.3,84.2,84.2,1019,48,16.11,120.0,,0,1.0,9560.0,AU,1581105457,1581155073,,,,,,
64,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,10000.0,1581138302,0,2632287,Dalvik,200,-18.53,65.97,37.4,14.52,37.4,37.4,968,69,33.33,197.0,,97,1.0,83.0,IS,1581155241,1581181756,,,,,0.13,
65,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138302,-10800,3883457,Lebu,200,-73.65,-37.62,49.77,46.13,49.77,49.77,1016,78,3.67,174.0,,0,,,CL,1581156982,1581206475,1016.0,998.0,,,,
66,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1581138302,3600,2562619,Saint Lawrence,200,14.2,36.06,46.94,43.11,44.6,48.99,1027,81,3.36,300.0,,40,1.0,6861.0,MT,1581141516,1581179770,,,,,,
67,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",model,,1581138302,32400,2020838,Lensk,200,114.93,60.73,18.12,6.49,18.12,18.12,1014,92,11.18,245.0,,100,,,RU,1581121379,1581151556,1014.0,961.0,,,0.56,
68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138302,-25200,4021858,Guerrero Negro,200,-114.06,27.98,57.81,54.75,57.81,57.81,1016,84,7.09,309.0,,0,,,MX,1581085203,1581124844,1016.0,1014.0,,,,
69,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,,1581138303,3600,2312895,Mbandaka,200,18.26,0.05,77.5,85.15,77.5,77.5,1011,81,1.05,160.0,,71,,,CD,1581137866,1581181472,1011.0,975.0,,,,
70,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,,1581138303,-10800,3443061,Chui,200,-53.46,-33.7,72.75,78.08,72.75,72.75,1012,94,4.92,24.0,,41,,,UY,1581152539,1581201225,1012.0,1012.0,,,,
71,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,,1581138303,-10800,3423146,Ilulissat,200,-51.1,69.22,6.8,-4.14,6.8,6.8,981,65,8.05,40.0,,100,1.0,165.0,GL,1581164803,1581187829,,,,,,
72,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581138303,19800,1253237,Veraval,200,70.37,20.9,80.19,67.84,80.19,80.19,1018,21,16.89,52.0,,0,,,IN,1581126771,1581167553,1018.0,1010.0,,,,
73,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,11265.0,1581138074,-25200,3985710,Cabo San Lucas,200,-109.91,22.89,60.19,56.79,55.99,62.6,1017,67,5.82,280.0,,5,1.0,7151.0,MX,1581083802,1581124252,,,,,,
74,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138303,-28800,5969025,Haines Junction,200,-137.51,60.75,8.69,-0.98,8.69,8.69,1015,97,6.69,192.0,,100,,,CA,1581095617,1581125686,1015.0,871.0,,,,
75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,5000.0,1581138184,0,2654970,Brae,200,-1.35,60.4,46.4,27.86,46.4,46.4,991,87,29.97,170.0,,60,1.0,1447.0,GB,1581149140,1581179611,,,42.5,,,
76,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,8000.0,1581138304,0,2377457,Nouadhibou,200,-17.03,20.93,64.4,55.67,64.4,64.4,1019,72,18.34,20.0,,99,1.0,2444.0,MR,1581147743,1581188535,,,,,,
77,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,,1581138304,39600,2136825,Isangel,200,169.27,-19.55,80.4,81.46,80.4,80.4,1005,87,17.72,99.0,3.69,92,,,VU,1581100266,1581146584,1005.0,995.0,,,,
78,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138304,-3600,3374210,Sao Filipe,200,-24.5,14.9,73.56,63.9,73.56,73.56,1016,46,18.03,61.0,,100,,,CV,1581149108,1581190755,1016.0,996.0,,,,
79,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1581138297,3600,2729907,Longyearbyen,200,15.64,78.22,24.8,10.02,24.8,24.8,982,79,17.22,210.0,,75,1.0,1663.0,SJ,0,0,,,,,,
80,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,10000.0,1581138304,14400,934322,Mahebourg,200,57.7,-20.41,80.78,84.33,80.6,81.0,1015,69,6.93,150.0,,40,1.0,2061.0,MU,1581126988,1581173418,,,,,,
81,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,,1581138304,28800,1629974,Rantepao,200,119.9,-2.97,76.84,84.31,76.84,76.84,1010,86,2.44,99.0,2.81,100,,,ID,1581113273,1581157276,1010.0,914.0,,,,
82,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138305,-3600,3372964,Lagoa,200,-27.98,39.05,59.56,46.0,59.56,59.56,1026,78,25.57,238.0,,100,,,PT,1581151937,1581189597,1026.0,1026.0,,,,
83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,,1581138305,-10800,3418910,Upernavik,200,-56.15,72.79,-26.52,-39.73,-26.52,-26.52,989,95,11.07,349.0,,24,,,GL,1581169173,1581185883,989.0,989.0,,,,
84,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138305,3600,2439376,Tahoua,200,5.27,14.89,60.67,47.03,60.67,60.67,1017,24,16.02,71.0,,0,,,NE,1581141964,1581183609,1017.0,967.0,,,,
85,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,,1581138305,7200,962367,Richards Bay,200,32.04,-28.78,76.5,79.79,76.5,76.5,1015,86,9.53,246.0,,83,,,ZA,1581132465,1581180258,1015.0,1015.0,,,,
86,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,,1581138305,7200,964432,Port Alfred,200,26.89,-33.59,66.99,66.65,66.99,66.99,1014,98,11.12,36.0,,47,3.0,2011314.0,ZA,1581133253,1581181942,,,,,,
87,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1581138305,3600,3038333,Arrondissement d'Ajaccio,200,8.92,42.0,39.07,30.54,35.6,42.8,1027,80,9.17,50.0,,56,1.0,6492.0,FR,1581143415,1581180406,,,,,,
88,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,,1581138305,25200,1507390,Dikson,200,80.55,73.51,-0.27,-14.4,-0.27,-0.27,990,94,13.78,180.0,,98,,,RU,1581137540,1581151897,990.0,990.0,,,,
89,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,,1581138305,46800,2206939,Bluff,200,168.33,-46.6,54.0,39.72,54.0,54.0,1022,63,21.99,222.0,0.13,91,3.0,2008959.0,NZ,1581097698,1581149603,,,38.99,,,
90,"[{'id': 311, 'main': 'Drizzle', 'description': 'drizzle rain', 'icon': '09n'}]",stations,4000.0,1581138306,0,2646557,Horsham,200,-0.33,51.06,48.31,42.15,46.0,50.0,1013,100,10.29,200.0,,75,1.0,1413.0,GB,1581146885,1581181376,,,,,,
91,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1581138306,39600,2155415,New Norfolk,200,147.06,-42.78,62.82,55.56,57.99,66.99,1031,55,11.41,110.0,,75,1.0,9545.0,AU,1581103347,1581154164,,,,,,
92,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,,1581138306,39600,2178753,Kirakira,200,161.92,-10.45,81.16,81.46,81.16,81.16,1001,80,17.2,267.0,2.69,100,,,SB,1581102684,1581147694,1001.0,980.0,,,,
93,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,,1581138306,-21600,3652764,Puerto Ayora,200,-90.35,-0.74,77.88,82.38,77.88,77.88,1012,86,8.7,191.0,,40,,,EC,1581077477,1581121188,1012.0,1005.0,,,,
