City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.3h,snow.3h,rain.1h,snow.1h
132,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,,1581187629,-36000,4035715,Avarua,200,-159.78,-21.21,80.6,81.37,80.6,80.6,1014,83,16.96,35.0,97,1.0,7271.0,CK,1581179143,1581225657,,,,1.06,,,
133,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,,1581187629,-10800,3455461,Palmares do Sul,200,-50.51,-30.26,86.56,86.72,86.56,86.56,1009,60,14.16,69.0,31,,,BR,1581152156,1581200193,1009.0,1008.0,,,,,
134,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187629,32400,2017215,Sangar,200,127.47,63.92,-19.68,-36.31,-19.68,-19.68,1023,74,17.18,117.0,98,,,RU,1581205646,1581234075,1023.0,1010.0,,,,,
135,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,2414.0,1581187629,-18000,4255151,Bud,200,-86.18,39.45,32.81,22.1,30.99,35.01,1020,78,11.41,260.0,90,1.0,4345.0,US,1581165937,1581203534,,,17.22,,,,
136,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,,1581187629,25200,1510689,Baykit,200,96.37,61.67,9.0,-0.38,9.0,9.0,1003,95,6.15,82.0,100,,,RU,1581212343,1581242307,1003.0,958.0,,,0.44,,
137,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",stations,7000.0,1581187629,0,2738381,Lata,200,-8.33,40.16,53.29,47.89,51.01,55.0,1026,100,11.41,330.0,75,1.0,6896.0,PT,1581147344,1581184757,,,,,,,
138,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581187630,36000,2065594,Mount Isa,200,139.5,-20.73,77.0,80.04,77.0,77.0,1006,78,7.81,328.0,16,1.0,9495.0,AU,1581193758,1581240189,,,,,,,
139,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,,1581187630,-18000,3945985,Camana,200,-72.71,-16.62,69.84,67.26,69.84,69.84,1013,74,11.16,203.0,96,,,PE,1581158578,1581204427,1013.0,919.0,,,,,
140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,,1581187630,10800,747712,Edirne,200,26.56,41.68,19.99,13.5,19.99,19.99,1020,63,1.23,112.0,81,3.0,2007272.0,TR,1581139148,1581176205,,,,,,,
141,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,,1581187262,-18000,5118693,Glens Falls,200,-73.64,43.31,21.04,12.74,15.8,26.01,1021,67,4.7,240.0,90,1.0,4205.0,US,1581163369,1581200083,,,,,,,
142,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1581187630,10800,110690,Faya,200,42.45,18.39,60.75,58.69,59.0,62.6,1027,87,7.47,253.0,36,1.0,7396.0,SA,1581133288,1581174438,,,,,,,
143,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,,1581187630,21600,1488206,Ust'-Ishim,200,71.17,57.69,12.16,3.25,12.16,12.16,1001,95,5.68,340.0,85,,,RU,1581217325,1581249422,1001.0,993.0,,,0.13,,
144,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,32186.0,1581187630,-28800,6111862,Port Hardy,200,-127.42,50.7,41.0,29.88,41.0,41.0,1023,75,13.87,300.0,20,1.0,1011.0,CA,1581177292,1581211975,,,23.04,,,,
145,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,,1581187630,32400,1651810,Airai,200,125.41,-8.93,67.77,72.03,67.77,67.77,1009,91,1.83,94.0,99,,,TL,1581197969,1581242742,1009.0,904.0,,3.75,,,
146,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,1100.0,1581187630,28800,2013399,Vikhorevka,200,101.16,56.12,21.2,9.84,21.2,21.2,1006,92,11.18,130.0,100,1.0,8892.0,RU,1581209791,1581242560,,,,,0.25,,
147,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,,1581187630,25200,1214026,Sabang,200,95.32,5.89,82.38,82.65,82.38,82.38,1014,68,13.73,100.0,62,,,ID,1581206148,1581249006,1014.0,1013.0,,,,,
148,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187630,18000,610298,Beyneu,200,55.2,45.32,34.74,20.52,34.74,34.74,1008,83,18.43,9.0,94,,,KZ,1581132728,1581168878,1008.0,1008.0,,,,,
149,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,16093.0,1581187630,-25200,3994469,Ojinaga,200,-104.42,29.57,66.85,62.02,64.4,70.0,1020,22,0.98,66.0,1,1.0,5416.0,MX,1581169382,1581208844,,,,,,,
150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581187631,18000,1175712,Jiwani,200,61.74,25.05,71.74,68.43,71.74,71.74,1021,64,10.98,162.0,3,,,PK,1581129156,1581169310,1021.0,1021.0,,,,,
151,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1581187631,-10800,3420768,Qasigiannguit,200,-51.19,68.82,6.8,-2.16,6.8,6.8,971,71,4.7,140.0,75,1.0,165.0,GL,1581164568,1581188107,,,,,,,
152,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,,1581187631,7200,3366880,Hermanus,200,19.23,-34.42,71.35,73.98,70.0,73.0,1009,85,5.99,80.0,58,3.0,2006131.0,ZA,1581135010,1581183862,,,8.99,,,,
153,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,48279.0,1581187631,-18000,5983720,Iqaluit,200,-68.51,63.75,-20.11,-29.78,-20.2,-20.0,993,55,4.7,340.0,40,1.0,797.0,CA,1581166305,1581194684,,,,,,,
154,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581187631,-14400,3831208,Qaanaaq,200,-69.36,77.48,-25.28,-35.16,-25.28,-25.28,987,67,5.06,78.0,0,,,GL,0,0,987.0,946.0,,,,,
